,generation,total_popsize,worst_fitness,best_fitness
0,0.0,500.0,-163788604424.39426,-126611.42035670285
1,1.0,500.0,-32072090287.225433,-41150.730607915764
2,2.0,500.0,-22284263639.358864,-341.89731643767055
3,3.0,500.0,-21466086403.32692,-3033.9652775553586
4,4.0,500.0,-20432526925.316055,-993.3147225713793
5,5.0,500.0,-20212591335.371178,-532.8318907882021
6,6.0,500.0,-19033145738.206993,-101.02985930538077
7,7.0,500.0,-19070839309.27625,-101.3800551878062
8,8.0,500.0,-17875683056.173023,-127.27033993824003
9,9.0,500.0,-17230092171.76111,-104.4806522193096
10,10.0,500.0,-16734999865.886583,-105.02572638589884
11,11.0,500.0,-16363814411.501268,-165.03244834779747
12,12.0,500.0,-15624854227.828249,-140.4622828908649
13,13.0,500.0,-15907609095.60081,-176.8191364711169
14,14.0,500.0,-14367243416.380373,-223.33218556345065
15,15.0,500.0,-13797203116.260607,-146.59671751388382
16,16.0,500.0,-13507460511.951714,-147.89779199134156
17,17.0,500.0,-13136282968.368908,-166.60569140353033
18,18.0,500.0,-12665843557.375734,-201.8395921580513
19,19.0,500.0,-12363619203.317638,-134.7441729828993
20,20.0,500.0,-11743364819.898388,-158.15625412674547
21,21.0,500.0,-11212715576.70416,-171.64179626388201
22,22.0,500.0,-10535791275.499647,-175.93696701029234
23,23.0,500.0,-9885252945.946709,-197.79437689577324
24,24.0,500.0,-9506147657.05374,-170.03491412579368
25,25.0,500.0,-9225268932.117968,-184.70989023317003
26,26.0,500.0,-8548587499.418442,-189.33861892818985
27,27.0,500.0,-8101561859.92822,-252.723198409383
28,28.0,500.0,-8127843622.406163,-215.3254851300734
29,29.0,500.0,-7551577875.649097,-196.04148398988644
30,30.0,500.0,-7047693504.561982,-180.4552479638948
31,31.0,500.0,-6534982173.216208,-187.52800764219415
32,32.0,500.0,-6507117083.301784,-166.02421304210395
33,33.0,500.0,-5737000577.491294,-207.97945781843248
34,34.0,500.0,-5530272519.616608,-211.77465399118478
35,35.0,500.0,-5221221122.750513,-198.92696681083333
36,36.0,500.0,-5073674868.17763,-199.1250637878867
37,37.0,500.0,-4712904932.310905,-190.6354887065076
38,38.0,500.0,-4340101149.307349,-202.99378705720056
39,39.0,500.0,-3890174895.6287637,-200.9823680853949
40,40.0,500.0,-3561841460.7883763,-206.1268444519568
41,41.0,500.0,-3434356266.740934,-196.51093350972025
42,42.0,500.0,-3124835929.6461043,-217.64425959287502
43,43.0,500.0,-3077336937.2535663,-210.2708970971212
44,44.0,500.0,-2834247268.2337813,-213.24756624302447
45,45.0,500.0,-2577545549.1894436,-197.5269154766268
46,46.0,500.0,-2383402053.6400695,-204.7477945707033
47,47.0,500.0,-2104027227.1376612,-182.87067718091598
48,48.0,500.0,-1771031364.6172633,-200.9119544105938
49,49.0,500.0,-1717575169.8285344,-221.064931297641
50,50.0,500.0,-1444854186.6287396,-195.8486864446943
51,51.0,500.0,-1258109297.7363102,-203.838770816847
52,52.0,500.0,-1135114009.9643486,-199.98371970181546
